postal code,city,statecode,county,latitude,longitude
32003,Fleming Island,FL,Clay,30.0933,-81.719
32004,Ponte Vedra Beach,FL,Saint Johns,30.2397,-81.3856
32006,Fleming Island,FL,Clay,30.107,-81.7167
32007,Bostwick,FL,Putnam,29.7996,-81.6273
32008,Branford,FL,Suwannee,29.9395,-82.8993
32009,Bryceville,FL,Nassau,30.4193,-81.9724
32011,Callahan,FL,Nassau,30.552,-81.8145
32013,Day,FL,Lafayette,30.1941,-83.2913
32024,Lake City,FL,Columbia,30.1055,-82.6878
32025,Lake City,FL,Columbia,30.1601,-82.6396
32026,Raiford,FL,Union,30.0699,-82.1927
32030,Doctors Inlet,FL,Clay,30.1056,-81.769
32033,Elkton,FL,Saint Johns,29.7882,-81.462
32034,Fernandina Beach,FL,Nassau,30.6697,-81.4626
32035,Fernandina Beach,FL,Nassau,30.6697,-81.4626
32038,Fort White,FL,Columbia,29.9207,-82.6879
32040,Glen Saint Mary,FL,Baker,30.2861,-82.2041
32041,Yulee,FL,Nassau,30.6233,-81.5902
32042,Graham,FL,Bradford,29.9689,-82.1226
32043,Green Cove Springs,FL,Clay,29.9983,-81.7647
32044,Hampton,FL,Bradford,29.8575,-82.1483
32046,Hilliard,FL,Nassau,30.6884,-81.9345
32050,Middleburg,FL,Clay,30.0689,-81.8604
32052,Jasper,FL,Hamilton,30.5029,-82.9322
32053,Jennings,FL,Hamilton,30.5482,-83.135
32054,Lake Butler,FL,Union,30.0035,-82.3828
32055,Lake City,FL,Columbia,30.2702,-82.6254
32056,Lake City,FL,Columbia,30.1897,-82.6393
32058,Lawtey,FL,Bradford,30.0472,-82.1055
32059,Lee,FL,Madison,30.3979,-83.2844
32060,Live Oak,FL,Suwannee,30.1759,-83.0304
32061,Lulu,FL,Columbia,30.0754,-82.5385
32062,Mc Alpin,FL,Suwannee,30.1509,-82.9662
32063,Macclenny,FL,Baker,30.2737,-82.1325
32064,Live Oak,FL,Suwannee,30.2956,-82.9844
32065,Orange Park,FL,Clay,30.1382,-81.7742
32066,Mayo,FL,Lafayette,30.04,-83.1462
32067,Orange Park,FL,Clay,30.1661,-81.7065
32068,Middleburg,FL,Clay,30.084,-81.8645
32071,O Brien,FL,Suwannee,30.0381,-82.93
32072,Olustee,FL,Baker,30.2041,-82.4287
32073,Orange Park,FL,Clay,30.1637,-81.7291
32079,Penney Farms,FL,Clay,29.9849,-81.8022
32080,Saint Augustine,FL,Saint Johns,29.7964,-81.2649
32081,Ponte Vedra,FL,Saint Johns,30.1204,-81.4128
32082,Ponte Vedra Beach,FL,Saint Johns,30.1223,-81.3627
32083,Raiford,FL,Union,30.0704,-82.2001
32084,Saint Augustine,FL,Saint Johns,29.9175,-81.3668
32085,Saint Augustine,FL,Saint Johns,29.9377,-81.4206
32086,Saint Augustine,FL,Saint Johns,29.8285,-81.3237
32087,Sanderson,FL,Baker,30.2522,-82.2729
32091,Starke,FL,Bradford,29.9583,-82.1185
32092,Saint Augustine,FL,Saint Johns,29.9475,-81.5264
32094,Wellborn,FL,Suwannee,30.1796,-82.8505
32095,Saint Augustine,FL,Saint Johns,30.011,-81.4108
32096,White Springs,FL,Hamilton,30.3387,-82.7765
32097,Yulee,FL,Nassau,30.6222,-81.5906
32099,Jacksonville,FL,Duval,30.3375,-81.7686
32102,Astor,FL,Lake,29.165,-81.5399
32105,Barberville,FL,Volusia,29.2005,-81.4065
32110,Bunnell,FL,Flagler,29.4562,-81.3244
32111,Candler,FL,Marion,29.0607,-81.969
32112,Crescent City,FL,Putnam,29.4272,-81.5579
32113,Citra,FL,Marion,29.3918,-82.1062
32114,Daytona Beach,FL,Volusia,29.2012,-81.0371
32115,Daytona Beach,FL,Volusia,29.2108,-81.0228
32116,Daytona Beach,FL,Volusia,29.1091,-80.9843
32117,Daytona Beach,FL,Volusia,29.2353,-81.0658
32118,Daytona Beach,FL,Volusia,29.2219,-81.0095
32119,Daytona Beach,FL,Volusia,29.16,-81.0269
32120,Daytona Beach,FL,Volusia,29.2108,-81.0228
32121,Daytona Beach,FL,Volusia,29.2108,-81.0228
32122,Daytona Beach,FL,Volusia,29.2108,-81.0228
32123,Port Orange,FL,Volusia,29.1383,-80.9956
32124,Daytona Beach,FL,Volusia,29.1419,-81.1402
32125,Daytona Beach,FL,Volusia,29.2108,-81.0228
32126,Daytona Beach,FL,Volusia,29.2108,-81.0228
32127,Port Orange,FL,Volusia,29.1383,-80.9956
32128,Port Orange,FL,Volusia,29.1383,-80.9956
32129,Port Orange,FL,Volusia,29.1372,-81.0241
32130,De Leon Springs,FL,Volusia,29.1166,-81.3488
32131,East Palatka,FL,Putnam,29.6609,-81.5879
32132,Edgewater,FL,Volusia,28.9818,-80.9103
32133,Eastlake Weir,FL,Marion,29.0088,-81.9094
32134,Fort Mc Coy,FL,Marion,29.391,-81.8551
32135,Palm Coast,FL,Flagler,29.4661,-81.2828
32136,Flagler Beach,FL,Flagler,29.475,-81.1303
32137,Palm Coast,FL,Flagler,29.5565,-81.219
32138,Grandin,FL,Putnam,29.7277,-81.9184
32139,Georgetown,FL,Putnam,29.3842,-81.6183
32140,Florahome,FL,Putnam,29.7581,-81.8622
32141,Edgewater,FL,Volusia,28.9455,-80.8969
32142,Palm Coast,FL,Flagler,29.4661,-81.2828
32143,Palm Coast,FL,Flagler,29.585,-81.2078
32145,Hastings,FL,Saint Johns,29.7051,-81.4909
32147,Hollister,FL,Putnam,29.6227,-81.8137
32148,Interlachen,FL,Putnam,29.627,-81.8894
32149,Interlachen,FL,Putnam,29.6242,-81.8926
32157,Lake Como,FL,Putnam,29.4839,-81.5729
32158,Lady Lake,FL,Lake,28.9175,-81.9229
32159,Lady Lake,FL,Lake,28.9299,-81.9256
32160,Lake Geneva,FL,Clay,29.7683,-81.9907
32162,The Villages,FL,Sumter,28.9341,-81.9599
32163,The Villages,FL,Sumter,28.9338,-81.9914
32164,Palm Coast,FL,Flagler,29.4861,-81.2045
32168,New Smyrna Beach,FL,Volusia,29.0247,-80.9584
32169,New Smyrna Beach,FL,Volusia,29.0172,-80.8885
32170,New Smyrna Beach,FL,Volusia,29.0258,-80.927
32173,Ormond Beach,FL,Volusia,29.2858,-81.0559
32174,Ormond Beach,FL,Volusia,29.2833,-81.0882
32175,Ormond Beach,FL,Volusia,29.2858,-81.0559
32176,Ormond Beach,FL,Volusia,29.3222,-81.0584
32177,Palatka,FL,Putnam,29.6577,-81.6595
32178,Palatka,FL,Putnam,29.6486,-81.6376
32179,Ocklawaha,FL,Marion,29.0643,-81.8857
32180,Pierson,FL,Volusia,29.2226,-81.4353
32181,Pomona Park,FL,Putnam,29.5002,-81.5915
32182,Orange Springs,FL,Marion,29.4856,-81.9589
32183,Ocklawaha,FL,Marion,29.0597,-81.9051
32185,Putnam Hall,FL,Putnam,29.7368,-81.958
